MIR,-66.55,93.02
MIZ,39.11,141.20
MLB,-38.36,145.18
MLT,29.52,30.89
MMB,43.91,144.19
MND,1.44,124.84
MNK,54.50,27.88
MOS,55.48,37.31
MSH,42.60,288.52
MSK,52.69,34.52
MSR,44.37,142.27
MUO,68.02,23.53
MUT,14.37,121.02
MZH,49.60,117.40
NAB,-1.16,36.48
NAD,65.53,72.51
NAL,78.92,11.95
NAN,56.40,298.30
NAQ,61.16,314.56
NCK,47.63,16.72
NEW,48.27,242.88
NGK,52.07,12.68
NKK,45.77,62.12
NMP,-15.09,39.25
NOK,69.40,88.10
NOR,71.09,25.79
NR2,60.50,24.65
NRD,81.60,343.33
NUR,60.50,24.65
NVL,-70.78,11.83
NVS,55.03,82.90
ODE,46.78,30.88
OHI,-63.32,302.10
ONW,38.43,141.47
ORC,-60.74,315.26
OSO,-40.34,286.91
OTT,45.40,284.45
OUJ,64.52,27.23
OUL,65.10,25.85
P01,45.41,16.66
PAC,-40.34,289.91
PAF,-49.35,70.26
PAG,47.49,24.18
PAL,-64.77,295.95
PBC,68.50,270.30
PBK,70.08,170.90
PBQ,55.28,282.26
PEG,38.10,23.90
PEL,66.90,24.08
PET,52.97,158.25
PG0,-83.67,88.68
PG1,-85.50,77.20
PG2,-84.42,57.96
PG3,-84.81,37.63
PG4,-83.34,12.25
PG5,-81.96,5.71
PGC,66.10,294.20
PHU,21.03,105.95
PIL,-31.40,294.47
PIN,50.20,263.96
PKR,65.12,212.57
PKS,52.50,252.80
PNL,-16.68,303.83
PNT,-53.20,289.10
POD,61.58,90.03
PPI,42.98,131.73
PPT,-17.57,210.42
PRG,-69.23,76.23
PRP,-3.60,119.40
PST,-51.70,302.11
PTK,52.94,158.25
PTN,-0.05,109.25
PUT,-18.33,290.50
QSB,33.87,35.64
R01,38.90,267.78
R02,38.68,282.22
R03,44.90,266.27
R04,40.01,254.76
R05,41.58,275.83
R06,31.84,257.68
R07,47.13,266.34
R08,44.33,286.44
R09,41.65,287.28
R10,42.61,288.52
R11,44.30,290.40
R12,47.50,242.30
R13,40.20,256.30
RAL,58.22,256.32
RAN,62.82,267.89
RED,52.14,246.16
RES,74.69,265.11
RIK,43.48,143.76
RNC,43.97,12.08
ROC,-23.19,150.31
ROE,55.17,8.55
ROT,51.07,245.87
RPB,66.52,273.77
RSV,55.85,12.45
RVK,64.94,10.99
S01,64.37,13.36
SAH,71.98,234.77
SAS,52.80,253.60
SBA,-77.85,166.78
SBH,6.02,116.07
SBL,43.93,299.99
SCN,-0.55,100.30
SCO,70.48,338.03
SER,-30.00,288.87
SFS,36.67,354.06
SHE,-15.95,354.27
SHU,55.35,199.54
SIT,57.06,224.67
SJG,18.11,293.85
SKD,66.57,66.78
SKT,65.42,307.10
SMA,36.99,334.87
SMI,60.03,248.07
SOD,67.37,26.63
SOL,61.08,4.84
SON,25.12,66.44
SOR,70.54,22.22
SPA,-90.00,0.00
SPG,60.54,29.72
SPT,39.55,355.65
STF,67.02,309.28
STJ,47.60,307.32
SUA,45.32,26.25
SUM,72.30,321.70
SUT,-32.40,20.67
SUW,54.01,23.18
SVS,76.02,294.90
SZC,52.91,19.61
T03,50.37,247.02
T15,46.48,275.31
T16,39.19,240.20
T17,44.95,287.87
T18,46.09,259.32
T19,47.61,245.33
T20,40.18,281.62
T21,43.08,257.41
T22,56.81,227.05
T23,43.66,274.86
T24,44.82,271.30
T25,45.14,241.07
T26,34.20,242.15
T27,34.38,242.32
T28,53.30,299.54
T29,58.10,291.60
T30,49.81,285.58
T31,56.50,280.80
T32,49.39,277.68
T33,53.99,259.06
T34,64.73,249.33
T35,63.60,249.14
T36,54.71,246.69
T37,53.81,237.17
T38,61.01,224.78
T39,62.24,209.58
T40,62.95,204.40
T41,66.97,199.56
T42,55.20,254.74
T43,50.87,245.70
T44,58.47,281.92
T45,55.28,282.24
T46,60.05,282.71
T47,62.20,284.35
T48,54.80,293.19
T49,50.22,293.73
T50,48.65,287.55
T51,48.05,282.22
T52,53.79,282.38
T53,60.82,281.85
T54,39.10,283.15
T55,60.55,208.74
T56,45.59,267.03
T57,38.25,255.39
T58,37.42,237.83
T59,57.79,207.60
T60,66.63,210.40
T61,37.88,284.56
T62,65.90,26.41
TAB,76.54,291.18
TAL,69.54,266.45
TAM,22.79,5.53
TAN,-18.92,47.55
TAR,58.26,26.46
TDC,-37.10,347.69
TEO,19.75,260.82
TGG,17.66,121.76
THL,77.47,290.77
THY,46.90,17.54
TIK,71.59,128.92
TIR,8.48,76.95
TKT,41.33,69.62
TLK,63.30,209.90
TND,1.29,124.95
TOL,39.88,355.95
TOP,56.09,13.18
TRO,69.66,18.94
TRP,62.67,150.24
TRW,-43.25,294.68
TSU,-19.22,17.70
TTB,-1.21,311.49
TUC,32.17,249.27
TUL,35.92,264.22
TWN,-19.27,146.82
UMQ,70.68,307.87
UPN,72.78,303.85
UPS,59.90,17.35
USC,33.34,278.54
VAL,51.93,349.75
VIC,48.52,236.58
VIZ,79.30,76.54
VLD,-39.48,286.86
VLO,48.19,282.24
VNA,-70.70,351.70
VOS,-78.45,106.87
VRE,-17.28,292.38
VSS,-22.40,316.35
VYH,48.49,18.84
W01,-41.55,147.21
W02,-29.03,167.97
W03,-2.70,141.30
W04,-66.28,111.53
W05,-68.58,77.96
WAD,51.90,256.10
WEP,-12.68,141.88
WEW,-3.55,143.62
WHS,60.70,224.90
WIC,47.55,15.52
WMQ,43.81,87.71
WNG,53.75,9.07
WSE,66.55,33.10
WTK,-7.56,112.63
Y01,-31.80,290.71
Y02,-26.84,294.77
Y03,-15.56,303.93
Y04,-2.59,315.79
Y05,-4.19,290.06
Y06,-12.59,290.81
Y07,-11.95,283.12
Y08,-11.78,282.85
Y09,-16.47,288.51
Y10,-11.95,283.12
Y11,-11.95,283.12
Y12,-12.04,284.68
Y13,-12.04,284.68
Y14,-14.09,284.27
Y15,-11.95,283.12
Y16,-14.83,285.08
Y17,-5.17,279.36
Y18,-6.50,283.64
YAK,60.02,129.72
YAP,9.30,138.50
YKC,62.48,245.52
YMK,31.19,130.62
YOR,53.95,358.95
YSS,46.95,142.72
ZAG,50.28,20.58
ZGN,66.75,123.26
ZYK,65.75,150.78
